math score,reading score,writing score,StudentID,average_score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none,pass_fail_Pass,Gender
72,72,74,1,72.66666666666667,False,True,False,False,False,True,False,False,False,False,True,True,True,female
69,90,88,2,82.33333333333333,False,False,True,False,False,False,False,False,True,False,True,False,True,female
90,95,93,3,92.66666666666667,False,True,False,False,False,False,False,True,False,False,True,True,True,female
47,57,44,4,49.333333333333336,True,False,False,False,False,False,False,False,False,False,False,True,False,male
76,78,75,5,76.33333333333333,True,False,True,False,False,False,False,False,True,False,True,True,True,male
71,83,78,6,77.33333333333333,False,True,False,False,False,False,False,False,False,False,True,True,True,female
88,95,92,7,91.66666666666667,False,True,False,False,False,False,False,False,True,False,True,False,True,female
40,43,39,8,40.666666666666664,True,True,False,False,False,False,False,False,True,False,False,True,False,male
64,64,67,9,65.0,True,False,False,True,False,False,True,False,False,False,False,False,True,male
38,60,50,10,49.333333333333336,False,True,False,False,False,False,True,False,False,False,False,True,False,female
58,54,52,11,54.666666666666664,True,False,True,False,False,False,False,False,False,False,True,True,True,male
40,52,43,12,45.0,True,False,False,True,False,False,False,False,False,False,True,True,False,male
65,81,73,13,73.0,False,True,False,False,False,False,True,False,False,False,True,True,True,female
78,72,70,14,73.33333333333333,True,False,False,False,False,False,False,False,True,False,True,False,True,male
50,53,58,15,53.666666666666664,False,False,False,False,False,False,False,True,False,False,True,True,True,female
69,75,78,16,74.0,False,False,True,False,False,False,False,False,False,True,True,True,True,female
88,89,86,17,87.66666666666667,True,False,True,False,False,False,True,False,False,False,True,True,True,male
46,42,46,18,44.666666666666664,True,False,True,False,False,False,False,True,False,False,False,False,False,male
54,58,61,19,57.666666666666664,False,False,True,False,False,False,False,False,False,False,False,True,True,female
66,69,63,20,66.0,True,False,False,True,False,False,True,False,False,False,True,True,True,male
65,75,70,21,70.0,False,True,False,False,False,False,False,False,True,False,False,False,True,female
44,54,53,22,50.333333333333336,True,False,False,True,False,False,False,False,True,False,True,True,True,male
69,73,73,23,71.66666666666667,False,False,True,False,False,False,False,False,False,True,True,True,True,female
74,71,80,24,75.0,True,False,False,True,False,True,False,False,False,False,False,False,True,male
73,74,72,25,73.0,True,False,False,False,False,False,False,True,False,False,False,True,True,male
69,54,55,26,59.333333333333336,True,True,False,False,False,False,False,False,True,False,True,True,True,male
